City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,283.61,98,100,4.92,NZ,1721626829
1,invercargill,-46.4,168.35,280.38,82,100,0.89,NZ,1721626830
2,sant antoni de portmany,38.9807,1.3036,295.14,79,20,2.06,ES,1721626831
3,nishinoomote,30.7333,131.0,305.46,66,40,4.63,JP,1721626832
4,jamestown,42.097,-79.2353,290.38,91,99,0.82,US,1721626686
5,portage,41.1667,-81.1998,292.69,80,0,1.54,US,1721626835
6,axim,4.8699,-2.2405,297.18,83,72,2.99,GH,1721626836
7,papatowai,-46.5619,169.4708,281.12,76,91,6.3,NZ,1721626837
8,prince rupert,54.3161,-130.3201,288.98,90,100,1.03,CA,1721626838
9,edinburgh of the seven seas,-37.0676,-12.3116,284.26,71,81,11.06,SH,1721626839
10,dunedin,-45.8742,170.5036,280.26,77,100,4.02,NZ,1721626841
11,puerto natales,-51.7236,-72.4875,279.18,73,100,6.64,CL,1721626842
12,coahuayana de hidalgo,18.7,-103.6583,298.54,91,99,1.62,MX,1721626843
13,codrington,-38.2667,141.9667,288.11,80,100,6.65,AU,1721626845
14,tolanaro,-25.0319,46.9987,292.19,94,20,2.06,MG,1721626846
15,iqaluit,63.7506,-68.5145,283.0,76,40,7.72,CA,1721626847
16,albany,42.6001,-73.9662,291.44,61,100,1.3,US,1721626469
17,bengkulu,-3.8004,102.2655,303.49,65,17,5.83,ID,1721626849
18,paramonga,-10.6667,-77.8333,289.14,85,65,3.09,PE,1721626851
19,jayapura,-2.5333,140.7,300.81,79,78,1.65,ID,1721626852
20,gadzhiyevo,69.2551,33.3362,294.41,51,32,6.27,RU,1721626854
21,port-aux-francais,-49.35,70.2167,277.0,93,100,7.33,TF,1721626855
22,namibe,-15.1961,12.1522,288.9,91,4,3.06,AO,1721626856
23,badger,64.8,-147.5333,299.08,57,20,1.54,US,1721626858
24,carnarvon,-24.8667,113.6333,295.45,62,69,5.85,AU,1721626859
25,semera,11.501,41.201,302.22,54,100,3.69,ET,1721626860
26,saint-philippe,-21.3585,55.7679,297.92,68,0,1.75,RE,1721626861
27,chibougamau,49.9168,-74.3659,282.94,93,100,2.06,CA,1721626863
28,enewetak,11.3474,162.3373,301.7,80,57,7.87,MH,1721626864
29,saipan,15.1355,145.701,304.54,70,40,7.72,MP,1721626865
30,margaret river,-33.95,115.0667,290.23,76,56,9.16,AU,1721626866
31,hawaiian paradise park,19.5933,-154.9731,297.61,83,66,2.52,US,1721626867
32,isafjordur,66.0755,-23.124,278.57,89,100,5.03,IS,1721626869
33,ilulissat,69.2167,-51.1,281.16,76,100,1.03,GL,1721626870
34,tiksi,71.6872,128.8694,278.58,94,100,4.12,RU,1721626871
35,kostyantynivka,48.5277,37.7069,301.84,28,100,3.88,UA,1721626873
36,sefrou,33.8319,-4.828,289.68,63,0,2.06,MA,1721626811
37,grytviken,-54.2811,-36.5092,271.11,83,37,4.27,GS,1721626875
38,nikki,9.9401,3.2108,294.56,96,81,2.79,BJ,1721626876
39,georgetown,5.4112,100.3354,306.12,62,20,4.12,MY,1721626879
40,meiningen,50.5679,10.4152,293.05,93,46,2.14,DE,1721626880
41,boa vista,2.8197,-60.6733,297.14,94,40,1.54,BR,1721626881
42,greenville,35.6127,-77.3663,298.24,97,75,2.57,US,1721626727
43,blackmans bay,-43.0167,147.3167,288.56,64,98,1.34,AU,1721626883
44,ushuaia,-54.8,-68.3,275.96,70,75,7.2,AR,1721626614
45,panorama,40.5878,23.0315,302.47,59,47,0.89,GR,1721626885
46,mtimbira,-8.7833,36.35,295.79,64,74,0.39,TZ,1721626886
47,mogadishu,2.0371,45.3438,300.08,78,75,8.75,SO,1721626809
48,ribeira grande,38.5167,-28.7,294.69,85,8,2.24,PT,1721626889
49,ashburton,-37.8626,145.0794,290.38,67,65,4.47,AU,1721626890
50,severo-yeniseyskiy,60.3725,93.0408,297.77,47,71,2.18,RU,1721626891
51,harper,4.375,-7.7169,296.97,84,100,4.3,LR,1721626892
52,hirara,24.8,125.2833,307.07,79,40,9.26,JP,1721626893
53,lamu,-2.2717,40.902,298.6,67,94,6.83,KE,1721626894
54,bac lieu,9.285,105.7244,304.33,64,89,6.28,VN,1721626895
55,suva,-18.1416,178.4415,299.86,78,75,2.06,FJ,1721626801
56,west island,-12.1568,96.8225,302.14,74,74,8.75,CC,1721626897
57,mont-dore,-22.2833,166.5833,296.14,64,31,2.13,NC,1721626900
58,puerto ayora,-0.7393,-90.3518,294.01,90,83,2.68,EC,1721626901
59,adamstown,-25.066,-130.1015,292.06,55,92,7.35,PN,1721626902
60,puerto cortez,15.8333,-87.95,299.38,89,100,2.46,HN,1721626903
61,port alfred,-33.5906,26.891,284.79,73,0,3.93,ZA,1721626904
62,bilibino,68.0546,166.4372,288.02,75,100,1.17,RU,1721626905
63,susuman,62.7833,148.1667,291.43,69,100,1.28,RU,1721626906
64,zhezqazghan,47.7833,67.7667,302.47,30,0,3.0,KZ,1721626907
65,port angeles,48.1181,-123.4307,289.65,71,0,7.72,US,1721626901
66,meizhou,24.2977,116.1072,308.38,48,69,2.31,CN,1721626910
67,anadyr,64.75,177.4833,289.43,82,75,7.0,RU,1721626911
68,port lincoln,-34.7333,135.8667,289.12,58,84,7.96,AU,1721626912
69,bubaque,11.2833,-15.8333,299.81,84,96,6.7,GW,1721626913
70,olonkinbyen,70.9221,-8.7187,278.26,95,93,8.28,SJ,1721626914
71,north bend,43.4065,-124.2243,288.63,94,100,6.17,US,1721626915
72,aasiaat,68.7098,-52.8699,276.0,87,69,1.46,GL,1721626916
73,chui,-33.6971,-53.4616,284.24,96,77,2.99,UY,1721626917
74,shijiang,27.0819,110.7933,310.09,40,0,0.82,CN,1721626919
75,ola,59.5833,151.2833,288.71,87,99,1.41,RU,1721626920
76,matadi,-5.8167,13.45,293.45,87,58,1.17,CD,1721626921
77,dryden,49.7833,-92.7503,291.31,77,100,2.06,CA,1721626922
78,santiago,-33.4569,-70.6483,284.36,65,6,0.3,CL,1721626679
79,longyearbyen,78.2186,15.6401,282.06,93,75,3.09,SJ,1721626924
80,avarua,-21.2078,-159.775,296.18,73,75,3.09,CK,1721626926
81,albufeira,37.0882,-8.2503,296.49,57,0,2.25,PT,1721626927
82,ghanzi,-21.5667,21.7833,287.26,22,44,2.6,BW,1721626929
83,udachny,66.4167,112.4,292.5,40,29,7.7,RU,1721626930
84,betio village,1.358,172.9211,304.17,73,5,6.43,KI,1721626931
85,hermanus,-34.4187,19.2345,276.93,80,21,2.86,ZA,1721626932
86,usinsk,65.9939,57.5281,286.86,59,100,3.45,RU,1721626933
87,urzhar,47.093,81.6294,302.69,30,35,2.88,KZ,1721626934
88,belle fourche,44.6714,-103.8522,293.9,42,43,1.77,US,1721626935
89,kapuskasing,49.4169,-82.4331,285.2,100,40,0.0,CA,1721626936
90,baley,51.6,116.6333,305.1,16,7,4.22,RU,1721626937
91,mateur,37.0405,9.6656,298.94,66,19,9.57,TN,1721626939
92,tshikapa,-6.4167,20.8,297.46,25,64,0.3,CD,1721626940
93,caribou,46.8606,-68.012,287.39,77,100,2.06,US,1721626941
94,swakopmund,-22.6833,14.5333,284.81,85,77,1.39,NA,1721626942
95,arraial do cabo,-22.9661,-42.0278,292.48,84,0,4.03,BR,1721626943
96,vadso,70.0744,29.7487,297.64,60,0,0.51,NO,1721626944
97,atafu village,-8.5421,-172.5159,301.65,75,0,9.55,TK,1721626945
98,revda,56.801,59.9303,285.8,74,100,4.35,RU,1721626946
99,thunder bay,48.4001,-89.3168,285.14,94,0,2.57,CA,1721626948
100,la'ie,21.6477,-157.9253,300.81,80,57,2.68,US,1721626949
101,bethel,41.3712,-73.414,294.77,89,0,1.54,US,1721626950
102,klyuchi,52.2667,79.1667,296.69,63,80,5.36,RU,1721626951
103,sao vicente,-23.9631,-46.3919,294.25,76,1,0.64,BR,1721626952
104,hirtshals,57.5881,9.9592,290.28,98,100,3.29,DK,1721626953
105,monte carmelo,-18.7247,-47.4986,287.59,53,6,2.02,BR,1721626954
106,vila velha,-20.3297,-40.2925,293.12,95,75,0.89,BR,1721626810
107,tura,25.5198,90.2201,302.67,76,79,2.68,IN,1721626956
108,sault ste. marie,46.5168,-84.3333,286.31,88,0,0.0,CA,1721626819
109,caleta de carquin,-11.0925,-77.6267,289.1,83,34,3.6,PE,1721626959
110,fuglafjordur,62.244,-6.814,284.41,82,31,6.65,FO,1721626960
111,nova sintra,14.8667,-24.7167,297.2,80,12,2.21,CV,1721626961
112,giado,31.9582,12.0203,303.66,26,0,5.08,LY,1721626962
113,shats'k,51.5021,23.9381,296.39,61,0,2.88,UA,1721626964
114,baikunthpur,23.25,82.55,304.78,62,87,1.8,IN,1721626965
115,chehalis,46.662,-122.964,289.03,86,100,2.57,US,1721626966
116,ust-nera,64.5667,143.2,293.21,65,100,2.09,RU,1721626967
117,salinas de hidalgo,22.6333,-101.7167,289.68,77,25,5.8,MX,1721626969
118,college,64.8569,-147.8028,299.12,49,20,1.54,US,1721626971
119,fomboni,-12.28,43.7425,298.38,64,64,4.98,KM,1721626972
120,polyarnyy,69.1989,33.4478,293.86,51,31,5.83,RU,1721626973
121,bonthe,7.5264,-12.505,297.32,92,93,3.29,SL,1721626974
122,ushachy,55.1786,28.6035,292.67,76,36,1.12,BY,1721626975
123,valdosta,30.8327,-83.2785,298.14,94,75,0.0,US,1721626976
124,bardai,11.65,7.2333,294.08,94,91,4.08,NG,1721626977
125,mogocha,53.7333,119.7667,303.5,26,71,1.11,RU,1721626978
126,cabo san lucas,22.8909,-109.9124,303.76,58,0,2.24,MX,1721626980
127,pisco,-13.7,-76.2167,285.38,87,20,2.06,PE,1721626981
128,george town,5.4112,100.3354,306.12,62,20,4.12,MY,1721626879
129,st. john's,47.5649,-52.7093,289.9,93,40,8.75,CA,1721626983
130,oppdal,62.5943,9.6912,288.9,86,91,2.44,NO,1721626984
131,council bluffs,41.2619,-95.8608,294.64,88,75,2.57,US,1721626968
132,kerikeri,-35.2268,173.9474,286.99,88,90,1.34,NZ,1721626986
133,sterling,39.0062,-77.4286,298.79,79,97,1.34,US,1721626792
134,santana,-0.0583,-51.1817,299.25,94,40,2.06,BR,1721626989
135,thompson,55.7435,-97.8558,288.24,82,100,5.14,CA,1721626990
136,mejit,10.2753,170.8646,301.51,79,61,7.26,MH,1721626991
137,vorgashor,67.5833,63.95,284.97,54,100,3.14,RU,1721626992
138,aitape,-3.1374,142.3475,300.44,84,100,2.38,PG,1721626993
139,bredasdorp,-34.5322,20.0403,278.7,90,8,1.79,ZA,1721626994
140,kodiak,57.79,-152.4072,288.88,77,0,2.06,US,1721626995
141,fortuna,40.5982,-124.1573,288.11,92,100,4.63,US,1721626997
142,mandan,46.8267,-100.8896,295.14,91,75,1.54,US,1721626998
143,kingston,17.997,-76.7936,302.68,79,20,2.06,JM,1721626999
144,ciudad lazaro cardenas,17.9583,-102.2,299.62,82,95,1.4,MX,1721627000
145,bodo,67.28,14.405,295.17,56,0,8.75,NO,1721626960
146,fort st. john,56.2499,-120.8529,299.09,44,75,5.66,CA,1721627002
147,changde,29.0464,111.6783,311.77,40,90,4.62,CN,1721627003
148,yellowknife,62.456,-114.3525,292.44,72,75,1.03,CA,1721627004
149,egersund,58.4513,5.9997,287.64,84,62,5.68,NO,1721627005
150,gwangju,35.1547,126.9156,303.68,70,85,4.9,KR,1721627007
151,lihue,21.9789,-159.3672,298.91,83,75,5.66,US,1721627008
152,khandyga,62.6667,135.6,290.18,83,100,1.61,RU,1721627009
153,touros,-5.1989,-35.4608,294.62,92,69,5.09,BR,1721627010
154,nha trang,12.25,109.1833,306.15,55,99,3.2,VN,1721627011
155,whitehorse,60.7161,-135.0538,289.58,88,100,7.2,CA,1721627012
156,shenjiamen,29.9576,122.298,301.69,83,41,8.48,CN,1721627013
157,askoy,60.4092,5.226,288.12,100,20,1.54,NO,1721627014
158,port mathurin,-19.6833,63.4167,295.75,68,6,7.24,MU,1721627016
159,tshabong,-26.05,22.45,282.88,22,81,3.68,BW,1721627017
160,slave lake,55.2834,-114.769,295.14,73,0,1.03,CA,1721627018
161,selfoss,63.9331,-20.9971,282.62,83,99,7.89,IS,1721627019
162,sao felix do xingu,-6.6447,-51.995,292.73,51,0,1.03,BR,1721627020
163,san luis de la loma,17.2706,-100.8939,298.36,86,100,1.87,MX,1721627021
164,kamakwie,9.5,-12.2333,295.47,99,100,1.29,SL,1721627022
165,el calafate,-50.3408,-72.2768,276.81,96,91,3.66,AR,1721627023
166,cromwell,41.5951,-72.6454,295.44,90,75,0.0,US,1721627024
167,genhe,50.7833,121.5167,303.52,29,1,1.22,CN,1721626833
168,huarmey,-10.0681,-78.1522,289.41,86,48,3.51,PE,1721627027
169,gilgit,35.9221,74.3087,302.65,32,34,1.31,PK,1721627028
170,orapa,-21.2833,25.3667,287.64,34,3,2.18,BW,1721627029
171,oamaru,-45.0784,170.9801,281.69,67,81,8.18,NZ,1721627030
172,nagqu,31.5,92.0,287.83,60,99,3.33,CN,1721627031
173,hithadhoo,-0.6,73.0833,302.87,70,40,6.47,MV,1721627032
174,chonchi,-42.6128,-73.8092,278.71,94,58,0.97,CL,1721627033
175,mahdia,35.5047,11.0622,301.12,71,7,10.42,TN,1721627034
176,remire-montjoly,4.9167,-52.2667,297.17,94,0,0.0,GF,1721627035
177,tofol,5.3248,163.0078,304.03,70,75,3.6,FM,1721627037
178,sao joao da barra,-21.6403,-41.0511,292.55,86,11,1.23,BR,1721627038
179,ancud,-41.8697,-73.8203,280.05,91,5,0.51,CL,1721627039
180,guerrero negro,27.9769,-114.0611,293.74,86,79,5.09,MX,1721627040
181,motygino,58.1831,94.7592,302.49,38,23,0.64,RU,1721627041
182,rio grande,-32.035,-52.0986,285.9,96,27,2.86,BR,1721626827
183,alofi,-19.0595,-169.9187,297.84,72,31,8.61,NU,1721627043
184,punta arenas,-53.15,-70.9167,279.21,52,75,14.4,CL,1721627046
185,labuan,5.2767,115.2417,304.35,66,20,2.06,MY,1721627047
186,gizo,-8.103,156.8419,301.18,81,77,7.42,SB,1721627048
187,tutoia,-2.7619,-42.2744,297.74,82,50,4.68,BR,1721627049
188,amos,48.5669,-78.1162,284.03,84,92,1.66,CA,1721627050
189,chernyshevskiy,63.0128,112.4714,295.78,74,39,3.82,RU,1721627051
190,montepuez,-13.1256,38.9997,293.6,59,19,2.31,MZ,1721627052
191,kirovo-chepetsk,58.5539,50.0399,291.28,50,0,4.87,RU,1721627053
192,bikenibeu village,1.3673,173.1241,304.13,70,20,5.14,KI,1721627054
193,tucurui,-3.7661,-49.6725,294.79,61,2,1.37,BR,1721627056
194,erenhot,43.6475,111.9767,306.84,21,0,8.2,CN,1721627057
195,acapulco de juarez,16.8634,-99.8901,300.05,83,100,0.0,MX,1721627058
196,palikir - national government center,6.9248,158.1611,301.61,75,36,3.91,FM,1721627059
197,vila franca do campo,37.7167,-25.4333,296.38,87,1,1.86,PT,1721627060
198,salinopolis,-0.6136,-47.3561,298.85,84,0,3.58,BR,1721627061
199,alexandria,31.2156,29.9553,302.99,60,0,2.61,EG,1721626838
200,minas de marcona,-15.2119,-75.1103,282.78,90,56,4.35,PE,1721627063
201,altamira,-3.2033,-52.2064,298.67,56,35,1.14,BR,1721627041
202,port elizabeth,-33.918,25.5701,281.31,90,0,3.6,ZA,1721626811
203,wailua homesteads,22.0669,-159.378,298.57,80,75,5.66,US,1721627067
204,happy valley-goose bay,53.3168,-60.3315,284.32,71,75,3.09,CA,1721627068
205,constantia,44.1833,28.65,296.53,62,0,3.42,RO,1721627069
206,ludus,46.4833,24.1,294.27,65,9,1.45,RO,1721627070
207,nemuro,43.3236,145.575,293.48,87,23,6.84,JP,1721627071
208,patacamaya,-17.2333,-67.9167,275.18,88,6,3.34,BO,1721627072
209,natal,-5.795,-35.2094,295.27,83,20,3.6,BR,1721627042
210,rosarito,32.3333,-117.0333,293.16,83,39,2.05,MX,1721627076
211,lata,40.1629,-8.3327,287.64,44,0,1.82,PT,1721627077
212,nadym,65.5333,72.5167,290.42,43,7,4.06,RU,1721627079
213,yaroslavl,57.6299,39.8737,293.04,77,0,5.0,RU,1721627012
214,boskovice,49.4875,16.66,296.38,56,0,1.16,CZ,1721627081
215,jasper,37.2001,-94.3502,292.52,89,20,0.0,US,1721627082
216,wenling,28.3669,121.36,303.78,74,19,5.2,CN,1721627085
217,thief river falls,48.1191,-96.1812,292.11,77,0,1.54,US,1721627086
218,hemsby,52.6971,1.6918,289.28,82,6,3.97,GB,1721627087
219,smolensk,55.0,33.0,292.57,76,14,1.53,RU,1721627088
220,valdivia,-39.8142,-73.2459,273.2,98,4,1.14,CL,1721627089
221,qaqortoq,60.7167,-46.0333,278.3,94,100,0.26,GL,1721627091
222,morondava,-20.2833,44.2833,294.88,53,0,0.77,MG,1721627092
223,albertina,-22.2008,-46.6158,286.13,54,0,2.02,BR,1721627093
224,kruisfontein,-34.0033,24.7314,280.52,80,0,2.75,ZA,1721627094
225,sorsk,54.0033,90.2467,290.23,86,100,2.46,RU,1721627097
226,armacao de buzios,-22.7469,-41.8817,289.18,87,0,3.75,BR,1721627098
227,lompoc,34.6391,-120.4579,287.23,87,100,3.6,US,1721627099
228,kirensk,57.7853,108.1119,301.12,57,90,0.74,RU,1721627101
229,olyokminsk,60.3736,120.4264,305.97,28,5,1.59,RU,1721627102
230,mugia,43.1041,-9.2179,288.66,82,0,8.28,ES,1721627103
231,newman,37.3138,-121.0208,302.28,48,1,2.35,US,1721627104
232,yarmouth,41.7057,-70.2286,294.83,93,0,1.34,US,1721627106
233,chabahar,25.2919,60.643,303.8,73,72,5.32,IR,1721627107
234,pandan,14.0453,124.1694,299.82,90,100,5.64,PH,1721627108
235,rikaze,29.25,88.8833,294.83,33,100,0.34,CN,1721627109
236,mossel bay,-34.1831,22.146,278.11,76,3,1.45,ZA,1721627110
237,hasaki,35.7333,140.8333,310.53,77,29,3.38,JP,1721627111
238,tarasivtsi,48.2053,26.3699,291.64,90,78,2.4,RO,1721627112
239,la passe,45.5549,-0.8967,289.83,68,76,2.21,FR,1721627113
240,richards bay,-28.783,32.0377,290.08,83,19,2.3,ZA,1721627114
241,margate,51.3813,1.3862,289.19,77,8,5.67,GB,1721627116
242,geraldton,-28.7667,114.6,294.38,49,78,5.14,AU,1721627117
243,maragogi,-9.0122,-35.2225,296.42,81,95,5.29,BR,1721627118
244,bagepalli,13.7847,77.7931,298.68,65,100,9.79,IN,1721627119
245,ula,22.7225,88.5556,305.14,79,75,4.12,IN,1721627120
246,christchurch,-43.5333,172.6333,281.86,82,100,8.23,NZ,1721627121
247,inirida,3.8653,-67.9239,293.93,99,91,0.85,CO,1721627122
248,zhanaozen,43.3,52.8,302.46,39,9,3.74,KZ,1721627123
249,taro,-8.3862,115.28,299.15,63,39,1.64,ID,1721627124
250,mount pearl,47.5166,-52.7813,289.44,93,40,8.75,CA,1721627126
251,east london,-33.0153,27.9116,283.67,71,0,3.6,ZA,1721627127
252,tazovsky,67.4667,78.7,284.26,49,22,4.41,RU,1721627128
253,cassilandia,-19.1133,-51.7342,290.84,47,1,1.53,BR,1721627026
254,stephenville,32.2207,-98.2023,296.58,90,95,2.14,US,1721627131
255,kuta,-8.7233,115.1723,303.12,70,40,6.69,ID,1721627132
256,kununurra,-15.7667,128.7333,301.14,20,12,5.14,AU,1721627133
257,siwa oasis,29.2041,25.5195,305.24,36,0,3.67,EG,1721627134
258,qingnian,36.8456,115.7117,309.69,51,48,5.46,CN,1721627136
259,orita eruwa,7.55,3.4333,294.03,98,55,0.94,NG,1721627137
260,qingdao,36.0986,120.3719,296.93,100,100,1.0,CN,1721627138
261,tefe,-3.3542,-64.7114,295.04,77,69,1.18,BR,1721627139
262,new norfolk,-42.7826,147.0587,289.22,68,100,3.1,AU,1721627140
263,thinadhoo,0.5333,72.9333,302.54,71,70,5.08,MV,1721627141
264,hinis,39.3606,41.7022,295.69,50,0,1.77,TR,1721627142
265,nizhneangarsk,55.7833,109.55,295.97,52,95,2.46,RU,1721627143
266,mount isa,-20.7333,139.5,298.02,15,0,5.66,AU,1721627145
267,brookings,44.3114,-96.7984,292.34,95,0,2.06,US,1721626906
268,cody,44.5263,-109.0565,294.27,39,0,1.54,US,1721627147
269,dudinka,69.4058,86.1778,284.81,44,23,7.43,RU,1721627148
270,ginir,7.1333,40.7,291.48,71,100,3.94,ET,1721627149
271,hamilton,39.1834,-84.5333,295.91,75,75,0.0,US,1721627020
272,benguela,-12.5763,13.4055,293.21,82,12,1.02,AO,1721627151
273,lazaro cardenas,17.9583,-102.2,299.62,82,95,1.4,MX,1721627152
274,antsiranana,-12.2787,49.2917,299.57,57,20,7.2,MG,1721627153
275,gamba,-2.65,10.0,293.71,92,38,1.35,GA,1721627154
276,salym,60.0625,71.4789,292.37,38,89,3.19,RU,1721627156
277,bechar,31.6167,-2.2167,306.33,16,20,2.57,DZ,1721627157
278,saint-denis,48.9167,2.3333,289.92,82,0,3.6,FR,1721627158
279,leninsk,48.7119,45.1994,303.94,27,79,2.24,RU,1721627159
280,aral,40.5156,81.2636,306.19,24,100,0.77,CN,1721627160
281,berwick,41.0545,-76.2333,292.98,90,100,1.34,US,1721627161
282,kharabali,47.4196,47.2568,303.67,30,69,1.79,RU,1721627163
283,aykhal,66.0,111.5,291.59,42,36,7.07,RU,1721627165
